,n1,n2,score
57,-H-fZonTLitwHFY_PLAIjA,7wSnkgOORRCqVDa_n8Upxg,2.957
58,-H-fZonTLitwHFY_PLAIjA,tthy48ZIX_wfY8Dy0Dvg6w,2.95
59,-H-fZonTLitwHFY_PLAIjA,GuzbBFraIq-fbkjfvaTRvg,2.924
60,-I7M6l0h46VdiN09Y1NUZw,IG-CwPl5mb6-hmpFjXUIvA,145.605
61,-I7M6l0h46VdiN09Y1NUZw,z9-8KvMAlVK46De-G3sNJQ,13.284
62,-I7M6l0h46VdiN09Y1NUZw,znlrxrY4InSx7ekPZxoHRw,5.394
63,-I7M6l0h46VdiN09Y1NUZw,CziOtnFSklimJnBgksDDwA,5.372
64,-I7M6l0h46VdiN09Y1NUZw,oinV9xrSkR3b_T8sK1nsqg,5.208
65,-I7M6l0h46VdiN09Y1NUZw,8MoqZqlNN9AXzG91_Hpc_Q,5.111
66,-I7M6l0h46VdiN09Y1NUZw,XgehM3pBZWuXi45J2dqRJQ,5.058
67,-I7M6l0h46VdiN09Y1NUZw,izSgTrqebu8bN8ONOCs6cQ,4.748
68,-I7M6l0h46VdiN09Y1NUZw,fVUurZgbWXzp2QzDzJzmpA,4.741
69,-I7M6l0h46VdiN09Y1NUZw,c3UA1gYc6VY7dEyS0135pQ,4.55
70,-NXRuUsazxXZZ_OHwmtYtw,P_QAD4_iMgqTaWd5On_n3g,12.82
71,-NXRuUsazxXZZ_OHwmtYtw,DOfiulOub9hVPBCtiDl9Fw,9.47
72,-NXRuUsazxXZZ_OHwmtYtw,3Wy21heeDm8h2tSZfcj6OA,8.929
73,-NXRuUsazxXZZ_OHwmtYtw,SsHMgOW3TT48Z7jeV5beqQ,8.921
74,-NXRuUsazxXZZ_OHwmtYtw,6EizP0XyqITuGZ8GZMI9Lw,8.779
75,-NXRuUsazxXZZ_OHwmtYtw,8Vo6LN9gqULhXzoxj5k6kQ,8.763
76,-NXRuUsazxXZZ_OHwmtYtw,thlyktt2c7v1DyOpSVSibw,8.564
77,-NXRuUsazxXZZ_OHwmtYtw,QLHgjBHBoeIUoEvIPvjHnw,8.389
78,-NXRuUsazxXZZ_OHwmtYtw,sk0IM8koYo1o9-k_rpkmxQ,8.19
79,-NXRuUsazxXZZ_OHwmtYtw,kwtKZ3fzM5jlR8Z7KIA17g,8.123
80,-TjT3y-Glfnbt6LbKETAYg,zbrIMldF_O1ZQ0vpUaaa8A,10.563
81,-TjT3y-Glfnbt6LbKETAYg,thlyktt2c7v1DyOpSVSibw,8.685
82,-TjT3y-Glfnbt6LbKETAYg,LuPK46HMxRYEVTXVbBCR1g,8.38
83,-TjT3y-Glfnbt6LbKETAYg,iBBV8vesQ8fo2IQA7an1JA,8.325
84,-TjT3y-Glfnbt6LbKETAYg,-FM4CxOg4XXmX_Ebky_SiQ,8.019
85,-TjT3y-Glfnbt6LbKETAYg,3Wy21heeDm8h2tSZfcj6OA,7.857
86,-TjT3y-Glfnbt6LbKETAYg,KSYONgGtrK0nKXfroB-bwg,7.807
87,-TjT3y-Glfnbt6LbKETAYg,fiQxkb1pfPpvrr0oYYYBcA,7.697
88,-TjT3y-Glfnbt6LbKETAYg,sk0IM8koYo1o9-k_rpkmxQ,7.666
89,-TjT3y-Glfnbt6LbKETAYg,fqStx0SvwMFChX_HIdUeEQ,7.561
90,-e8RwknT5szoLk9uBZjzcw,c-W17u2jiFOD2H_d6uo-bQ,26.618
91,-e8RwknT5szoLk9uBZjzcw,XkmJfBmH-G7eLiq8vJnJRQ,18.586
92,-e8RwknT5szoLk9uBZjzcw,v4lz71o76wWD8H15NsbZGA,12.85
93,-e8RwknT5szoLk9uBZjzcw,1xsBRB203LiYLcC3mktfdA,12.172
94,-e8RwknT5szoLk9uBZjzcw,DOfiulOub9hVPBCtiDl9Fw,11.954
95,-e8RwknT5szoLk9uBZjzcw,kBqyg_L_Xn9jQTCHYODbRg,10.924
96,-e8RwknT5szoLk9uBZjzcw,eL4lyE7LNoXEMvpcJ8WNVw,10.597
97,-e8RwknT5szoLk9uBZjzcw,oGDGlUbOjHxmmCh8ZYcDCg,10.595
98,-e8RwknT5szoLk9uBZjzcw,QBNATcq7Stx9LxcSq16W7w,10.5
99,-e8RwknT5szoLk9uBZjzcw,iBTc6XKgW5HESEZIii-G4g,10.453
100,-fxH1XplVLVtWg2ZJWwRdA,QLHgjBHBoeIUoEvIPvjHnw,24.804
101,-fxH1XplVLVtWg2ZJWwRdA,ZrxlfdFU_qpnIHI2DmoRxA,7.086
102,-fxH1XplVLVtWg2ZJWwRdA,dQ6d9H7rnFSOSC_FXbJ_FQ,6.806
103,-fxH1XplVLVtWg2ZJWwRdA,-BdYhP-12elmFV7oB1iv4A,5.722
104,-fxH1XplVLVtWg2ZJWwRdA,GuzbBFraIq-fbkjfvaTRvg,5.275
105,-fxH1XplVLVtWg2ZJWwRdA,r2IhvKZQ_wLR5mLBnPOilg,4.601
106,-fxH1XplVLVtWg2ZJWwRdA,R93mEcQ1pjq7q3LzShi3ow,4.257
107,-fxH1XplVLVtWg2ZJWwRdA,tGQytMbOXDdZS_OSK9hkBw,4.17
108,-fxH1XplVLVtWg2ZJWwRdA,noiUCN8A9Vdm9pUbWX6K-w,3.916
109,-fxH1XplVLVtWg2ZJWwRdA,tthy48ZIX_wfY8Dy0Dvg6w,3.874
110,-ipZBVF9nWm1vzrvQ3444A,_Uyinj5wLMJ7x2cCfHO1Yg,7.825
111,-ipZBVF9nWm1vzrvQ3444A,sxuv5uZU15UHGT_HB1xYxQ,4.466
112,-ipZBVF9nWm1vzrvQ3444A,hVKH5oED9NgGaZeIiF547A,4.3
113,-ipZBVF9nWm1vzrvQ3444A,3Wy21heeDm8h2tSZfcj6OA,3.907
114,-ipZBVF9nWm1vzrvQ3444A,NIQWO-Q_F598XlAvZnFVCA,3.558
115,-ipZBVF9nWm1vzrvQ3444A,eikRexw04kC6siBDkFnayQ,3.503
116,-ipZBVF9nWm1vzrvQ3444A,QFh-h_OZ5Io-mBk32HN28A,3.467
117,-ipZBVF9nWm1vzrvQ3444A,lu2UpRHLBZfvLG_caNEHKQ,3.438
118,-ipZBVF9nWm1vzrvQ3444A,cAbdvzqtFLaAAMFIyPf2AA,3.429
119,-ipZBVF9nWm1vzrvQ3444A,Un-UDVOuv1co3TMmGaumxA,3.422
120,-kY_HDP7IMvGl-kBIZVU4A,qUH2FppY7RL96F5tXzA0hQ,4.62
121,-kY_HDP7IMvGl-kBIZVU4A,r_UPGh9GHMyBhPVMKVxRuw,4.238
122,-kY_HDP7IMvGl-kBIZVU4A,PWWGbkPC_agn-4s1Hv1W5A,4.072
123,-kY_HDP7IMvGl-kBIZVU4A,D1OT9vuepvXJrn5VDgm4YA,4.07
124,-kY_HDP7IMvGl-kBIZVU4A,u3uB0GD7cVf5NC-AFHdwnQ,3.85
125,-kY_HDP7IMvGl-kBIZVU4A,e8NRt-1C8eI85C59pKhJuA,3.801
126,-kY_HDP7IMvGl-kBIZVU4A,8Vo6LN9gqULhXzoxj5k6kQ,3.603
127,-kY_HDP7IMvGl-kBIZVU4A,elX9a3nvGMSweRaMWgSb0Q,3.597
128,-kY_HDP7IMvGl-kBIZVU4A,geKBfuHkJFpQttIFfPHrmg,3.469
129,-kY_HDP7IMvGl-kBIZVU4A,23OxrUaCvvVrwSa1z3xG-w,3.333
130,-kfHz1kimX62QEceFkkB_g,W7zCBDLFv13fDzRXJefrrA,16.483
131,-kfHz1kimX62QEceFkkB_g,jWgZRpdHy8csA1sUz1auSw,12.035
132,-kfHz1kimX62QEceFkkB_g,jWhlz8LesaC7jZL9bHNe9A,5.781
133,-kfHz1kimX62QEceFkkB_g,U2hkeMI-q4cS35QolJYN0A,4.602
134,-kfHz1kimX62QEceFkkB_g,jR3sTUWCPuOCWpdm8Pn-wQ,4.503
135,-kfHz1kimX62QEceFkkB_g,wFES5bGDiPANW13hNHnXOQ,4.339
136,-kfHz1kimX62QEceFkkB_g,6smGb7xv5fDbBsLgW1WC2w,4.308
137,-kfHz1kimX62QEceFkkB_g,fApb6LKfOdy5u7MP0hsHKg,4.252
138,-kfHz1kimX62QEceFkkB_g,gebiRewfieSdtt17PTW6Zg,4.25
139,-kfHz1kimX62QEceFkkB_g,bVaRZDHkWdsHuARGxxpREw,4.211
140,-loV4cB2Uh9TCltTRgGzWQ,UuRZpgZsHX7PyykHV3wbZg,9.695
141,-loV4cB2Uh9TCltTRgGzWQ,IDtLPgUrqorrpqSLdfMhZQ,8.412
142,-loV4cB2Uh9TCltTRgGzWQ,hPzPpfSjgQkpWCD7YjcY-A,7.914
143,-loV4cB2Uh9TCltTRgGzWQ,3tvi-OJ_-iK1ecjzSaH-oA,7.789
144,-loV4cB2Uh9TCltTRgGzWQ,VAIOtbsxdNmuhUKkQZFRlA,7.616
145,-loV4cB2Uh9TCltTRgGzWQ,0RxU5OglQyPVtLKC1LPgsA,7.582
146,-loV4cB2Uh9TCltTRgGzWQ,lu2UpRHLBZfvLG_caNEHKQ,6.532
147,-loV4cB2Uh9TCltTRgGzWQ,DOfiulOub9hVPBCtiDl9Fw,6.523
148,-loV4cB2Uh9TCltTRgGzWQ,FH0MVF7kK0D76Hh4e7hXfQ,6.457
149,-loV4cB2Uh9TCltTRgGzWQ,yEmEDomLUofVtbZoUeFV5g,6.421
150,-nwNPb3G-0L95igrhkvMtw,NIQWO-Q_F598XlAvZnFVCA,15.553
151,-nwNPb3G-0L95igrhkvMtw,Nbht3URjeV94507do0goEw,7.259
152,-nwNPb3G-0L95igrhkvMtw,8-ZExybRuyyXZf6aESgc3g,6.849
153,-nwNPb3G-0L95igrhkvMtw,TUtf4FLtotdQDleYpRIfnw,5.959
154,-nwNPb3G-0L95igrhkvMtw,QFh-h_OZ5Io-mBk32HN28A,5.139
155,-nwNPb3G-0L95igrhkvMtw,fVUurZgbWXzp2QzDzJzmpA,4.422
156,-nwNPb3G-0L95igrhkvMtw,1pd4VYTww1UWDVai2r2RKg,4.385
157,-nwNPb3G-0L95igrhkvMtw,YXaCcpETNtxrNNK6TbUTlw,4.327
158,-nwNPb3G-0L95igrhkvMtw,XkveGZ8pr9TL5bZCqmzuhA,4.249
159,-nwNPb3G-0L95igrhkvMtw,CziOtnFSklimJnBgksDDwA,4.054
160,-r6nmLB5Vi2TLQCxh0_dtw,fVUurZgbWXzp2QzDzJzmpA,6.401
161,-r6nmLB5Vi2TLQCxh0_dtw,vhWlxyLEWAbNOMtQ42yzFg,6.248
162,-r6nmLB5Vi2TLQCxh0_dtw,JjmmSW_QQh2Db4fuIEMATA,5.705
163,-r6nmLB5Vi2TLQCxh0_dtw,wK2IixmZUOEFGz1QZqR99Q,5.594
164,-r6nmLB5Vi2TLQCxh0_dtw,qdpdUjdkEUpzYDdce2yZng,5.198
165,-r6nmLB5Vi2TLQCxh0_dtw,GtrY5U_M1ac3bYCk0DUeIg,5.009
166,-r6nmLB5Vi2TLQCxh0_dtw,XyYsl2OyoMi6OMvzsdcVoQ,4.987
167,-r6nmLB5Vi2TLQCxh0_dtw,UjgqSqa4Biy34pHSEdwj_g,4.955
168,-r6nmLB5Vi2TLQCxh0_dtw,QFh-h_OZ5Io-mBk32HN28A,4.849
169,-r6nmLB5Vi2TLQCxh0_dtw,i5C6RVgr03HSrgCl8oa1Fg,4.698
170,-ujBP1Dw0j1-Ffaz97-LXQ,RRGLss4hhvZZuR0N6GQlSw,72.283
171,-ujBP1Dw0j1-Ffaz97-LXQ,OCW1gs6Rjn90_x5EV0PuaA,18.848
172,-ujBP1Dw0j1-Ffaz97-LXQ,lwbFhaGaKUtwPdaXXjy3mQ,16.389
173,-ujBP1Dw0j1-Ffaz97-LXQ,pUVRCYL8rT4I5Ry5FYkRsA,15.697
174,-ujBP1Dw0j1-Ffaz97-LXQ,MAIfD4kJDCydgoD1l2b_vw,9.182
175,-ujBP1Dw0j1-Ffaz97-LXQ,d0E938M2_4kcuULUdnj-Xw,8.29
176,-ujBP1Dw0j1-Ffaz97-LXQ,1xsBRB203LiYLcC3mktfdA,8.281
177,-ujBP1Dw0j1-Ffaz97-LXQ,v4lz71o76wWD8H15NsbZGA,8.001
178,-ujBP1Dw0j1-Ffaz97-LXQ,-e8RwknT5szoLk9uBZjzcw,7.807
179,-ujBP1Dw0j1-Ffaz97-LXQ,kBqyg_L_Xn9jQTCHYODbRg,7.796
180,-veGIq3SvwFMi5ZwMSIqkg,xVtO6a4dqKQQzMXkSPL80A,7.183
181,-veGIq3SvwFMi5ZwMSIqkg,ghLjxj4HoSHdflBEz2lIqA,6.963
182,-veGIq3SvwFMi5ZwMSIqkg,_Uyinj5wLMJ7x2cCfHO1Yg,6.839
183,-veGIq3SvwFMi5ZwMSIqkg,edDmC1Zcr5SVczbKBfiXqw,6.56
184,-veGIq3SvwFMi5ZwMSIqkg,BErYojCJSO959vzaz9JclQ,6.184
185,-veGIq3SvwFMi5ZwMSIqkg,mAqgsZBTN-wsShMpkz2o9g,6.055
186,-veGIq3SvwFMi5ZwMSIqkg,thlyktt2c7v1DyOpSVSibw,6.049
187,-veGIq3SvwFMi5ZwMSIqkg,8Vo6LN9gqULhXzoxj5k6kQ,5.901
188,-veGIq3SvwFMi5ZwMSIqkg,3Wy21heeDm8h2tSZfcj6OA,5.858
189,-veGIq3SvwFMi5ZwMSIqkg,6EizP0XyqITuGZ8GZMI9Lw,5.835
190,011vcXzrmB86rXoVwCJiJw,5iCDjFNkihjzj94Gh0kyIA,6.639
191,011vcXzrmB86rXoVwCJiJw,kcL3D2xK9_1Uyj8zRZMyvQ,6.485
192,011vcXzrmB86rXoVwCJiJw,FNT8JRNUh841qOvKhCC1NQ,6.385
193,011vcXzrmB86rXoVwCJiJw,vPv4J9bgh7BDy-p6tAM0ew,6.385
194,011vcXzrmB86rXoVwCJiJw,UDZxN93l5_ggUFeF0EEcYg,6.365
195,011vcXzrmB86rXoVwCJiJw,OQKKEbPoXqZwSF5CiNWZeQ,6.354
196,011vcXzrmB86rXoVwCJiJw,h4zjPjFmQgJQzYEXLcHenw,4.401
197,011vcXzrmB86rXoVwCJiJw,aIDRH4eKKBV0Je_W4y83sw,3.983
198,011vcXzrmB86rXoVwCJiJw,xEjPCUocVTNszm3D39qmYg,3.782
199,011vcXzrmB86rXoVwCJiJw,VrQUskWkEnvKyyz_OkJZEg,3.502
200,04Ss49U_QKYLotcJMAH8cA,AorcIbAAOJI7z0CBwICwoQ,13.494
201,04Ss49U_QKYLotcJMAH8cA,7wSnkgOORRCqVDa_n8Upxg,4.884
202,04Ss49U_QKYLotcJMAH8cA,GuzbBFraIq-fbkjfvaTRvg,3.921
203,04Ss49U_QKYLotcJMAH8cA,lu2UpRHLBZfvLG_caNEHKQ,3.48
204,04Ss49U_QKYLotcJMAH8cA,TVX2a4bVuCE2VUIkiLdZrQ,3.473
205,04Ss49U_QKYLotcJMAH8cA,IZZ7J14VnJGyUqYH1tgT6w,3.391
206,04Ss49U_QKYLotcJMAH8cA,qvXw3V4_9Pu4E7Qoi7-cKA,3.218
207,04Ss49U_QKYLotcJMAH8cA,ZrxlfdFU_qpnIHI2DmoRxA,3.196
208,04Ss49U_QKYLotcJMAH8cA,k6Ptrc94R-Mk549pDEVTFA,3.188
209,04Ss49U_QKYLotcJMAH8cA,fVUurZgbWXzp2QzDzJzmpA,2.865
210,0RxU5OglQyPVtLKC1LPgsA,2nF2syYoD5VBFk01le6NkA,38.557
211,0RxU5OglQyPVtLKC1LPgsA,-loV4cB2Uh9TCltTRgGzWQ,7.349
212,0RxU5OglQyPVtLKC1LPgsA,hPzPpfSjgQkpWCD7YjcY-A,6.625
213,0RxU5OglQyPVtLKC1LPgsA,VAIOtbsxdNmuhUKkQZFRlA,6.584
214,0RxU5OglQyPVtLKC1LPgsA,UuRZpgZsHX7PyykHV3wbZg,6.504
215,0RxU5OglQyPVtLKC1LPgsA,FH0MVF7kK0D76Hh4e7hXfQ,6.43
216,0RxU5OglQyPVtLKC1LPgsA,3tvi-OJ_-iK1ecjzSaH-oA,6.376
217,0RxU5OglQyPVtLKC1LPgsA,IDtLPgUrqorrpqSLdfMhZQ,6.364
218,0RxU5OglQyPVtLKC1LPgsA,SYHDOHRNAH-2xsw3XB5qbg,5.793
219,0RxU5OglQyPVtLKC1LPgsA,BErYojCJSO959vzaz9JclQ,5.617
220,0ac5lGA_0wdKDnib3y59Xg,Y57sylYCgq2VQJuBCnjPfA,122.259
221,0ac5lGA_0wdKDnib3y59Xg,zbrIMldF_O1ZQ0vpUaaa8A,6.835
222,0ac5lGA_0wdKDnib3y59Xg,EZc2myE2mYk2h9JK9qu8gw,5.629
223,0ac5lGA_0wdKDnib3y59Xg,kBqyg_L_Xn9jQTCHYODbRg,5.616
224,0ac5lGA_0wdKDnib3y59Xg,AV3XPH1iv8PKSO6mrnYgLg,5.546
225,0ac5lGA_0wdKDnib3y59Xg,xRapA2lG7mjJ6eOqHmxe-A,5.33
226,0ac5lGA_0wdKDnib3y59Xg,oGDGlUbOjHxmmCh8ZYcDCg,5.266
227,0ac5lGA_0wdKDnib3y59Xg,4FdsX3MbkcdBRAr1aymF6A,5.234
228,0ac5lGA_0wdKDnib3y59Xg,E7RtIisUoRMcADSebBgNAA,5.22
229,0ac5lGA_0wdKDnib3y59Xg,KSYONgGtrK0nKXfroB-bwg,5.216
230,0c28ysQJ_M1fVToTFV-FWQ,U1Gc3wKN5viu_e68KJVOdQ,6.188
231,0c28ysQJ_M1fVToTFV-FWQ,FTFaEinJgzqY0ZHQMUSpQQ,5.914
232,0c28ysQJ_M1fVToTFV-FWQ,JjmmSW_QQh2Db4fuIEMATA,5.578
233,0c28ysQJ_M1fVToTFV-FWQ,ziXR7sUrbKRCNeDqfjibUg,5.515
234,0c28ysQJ_M1fVToTFV-FWQ,fVUurZgbWXzp2QzDzJzmpA,4.944
235,0c28ysQJ_M1fVToTFV-FWQ,E8tiSAB6O4TPeVdKR0K5Ug,4.833
236,0c28ysQJ_M1fVToTFV-FWQ,i5C6RVgr03HSrgCl8oa1Fg,4.733
237,0c28ysQJ_M1fVToTFV-FWQ,DOfiulOub9hVPBCtiDl9Fw,4.694
238,0c28ysQJ_M1fVToTFV-FWQ,lu2UpRHLBZfvLG_caNEHKQ,4.673
239,0c28ysQJ_M1fVToTFV-FWQ,vhWlxyLEWAbNOMtQ42yzFg,4.669
240,0cWnURpfrb4MqKSzyVN4SQ,RqmKdsCh53VCr50QHybrAQ,25.783
241,0cWnURpfrb4MqKSzyVN4SQ,j3Ml_qEFnDOaH5miNzG6xw,11.086
242,0cWnURpfrb4MqKSzyVN4SQ,kZtl_NJjUnlIQgzFrBhXyQ,6.777
243,0cWnURpfrb4MqKSzyVN4SQ,OyFxR5E2HBy-K2-0AxCtFg,4.667
244,0cWnURpfrb4MqKSzyVN4SQ,jW4a3W9-UkFxpglHvo_Kqg,4.603
245,0cWnURpfrb4MqKSzyVN4SQ,GuzbBFraIq-fbkjfvaTRvg,3.784
246,0cWnURpfrb4MqKSzyVN4SQ,-BdYhP-12elmFV7oB1iv4A,3.351
247,0cWnURpfrb4MqKSzyVN4SQ,IRyKDIF51M0GcqS8yfPcYA,3.341
248,0cWnURpfrb4MqKSzyVN4SQ,w79qtK0PpeDWrnY7E-uTRg,3.324
249,0cWnURpfrb4MqKSzyVN4SQ,QLHgjBHBoeIUoEvIPvjHnw,3.309
250,0iHHsSqphxrBWWecYEJcuQ,1U8Kt44FIkC7RnJsNjaMTA,5.119
251,0iHHsSqphxrBWWecYEJcuQ,-loV4cB2Uh9TCltTRgGzWQ,5.02
252,0iHHsSqphxrBWWecYEJcuQ,CkENBnSJFfPA1hY0qrqfCg,4.925
253,0iHHsSqphxrBWWecYEJcuQ,r5sQtvsO4OVJgEH5H3uEAg,4.368
254,0iHHsSqphxrBWWecYEJcuQ,CoZ2mpsMBP8HUG1ymKoZTg,4.119
255,0iHHsSqphxrBWWecYEJcuQ,iBBV8vesQ8fo2IQA7an1JA,3.99
256,0iHHsSqphxrBWWecYEJcuQ,PWWGbkPC_agn-4s1Hv1W5A,3.952
257,0iHHsSqphxrBWWecYEJcuQ,qUH2FppY7RL96F5tXzA0hQ,3.877
258,0iHHsSqphxrBWWecYEJcuQ,CUWituEeIX3xA0xU7X82Ow,3.875
259,0iHHsSqphxrBWWecYEJcuQ,UuRZpgZsHX7PyykHV3wbZg,3.775
260,0iLgVQpBeIYYwQZIblTTVw,VAIOtbsxdNmuhUKkQZFRlA,3.628
261,0iLgVQpBeIYYwQZIblTTVw,BErYojCJSO959vzaz9JclQ,3.613
262,0iLgVQpBeIYYwQZIblTTVw,bp482wqF6v80AltDNlPDfw,3.593
263,0iLgVQpBeIYYwQZIblTTVw,thlyktt2c7v1DyOpSVSibw,3.539
264,0iLgVQpBeIYYwQZIblTTVw,UuRZpgZsHX7PyykHV3wbZg,3.502
265,0iLgVQpBeIYYwQZIblTTVw,XgehM3pBZWuXi45J2dqRJQ,3.466
266,0iLgVQpBeIYYwQZIblTTVw,QFh-h_OZ5Io-mBk32HN28A,3.46
267,0iLgVQpBeIYYwQZIblTTVw,45D7B9CqiUTTPUFcqmLx5Q,3.431
268,0iLgVQpBeIYYwQZIblTTVw,Un-UDVOuv1co3TMmGaumxA,3.416
269,0iLgVQpBeIYYwQZIblTTVw,r926yelr_EJAKQCjdD6AWA,3.416
270,0jpFptAehZhLl3nkhHDanA,G9rBwcWp56C8r6ZFwVuimA,6.69
271,0jpFptAehZhLl3nkhHDanA,l-rGtJt0E7PAklT0IK7oFQ,5.584
272,0jpFptAehZhLl3nkhHDanA,lNECraPTMtUPDJPjmF0tVA,5.147
273,0jpFptAehZhLl3nkhHDanA,v1Uesklh8DpEufYOhTq4iA,4.962
274,0jpFptAehZhLl3nkhHDanA,HrnSaz2f1WUEoAQQ6iD6gw,4.862
275,0jpFptAehZhLl3nkhHDanA,1wvYBjX6radqmb_k0Fv_Ug,4.524
276,0jpFptAehZhLl3nkhHDanA,KSYONgGtrK0nKXfroB-bwg,3.759
