address,take_out,business_id,categories,latitude,longitude,name,review_count,stars,star_count,dates
207 W Anapamu St,True,-veGIq3SvwFMi5ZwMSIqkg,"{'Delis', 'Beer', 'Convenience Stores', 'Food', 'Grocery', 'Wine & Spirits', 'Restaurants'}",34.420862,-119.706714,Red Sand Market and Deli,11,4.5,"[1, 1, 0, 1, 8]","['2015-09-06 20:50:01', '2017-03-11 20:40:20', 0, '2013-11-27 06:30:14', '2014-07-04 19:26:01']"
1282 Coast Village Rd,False,011vcXzrmB86rXoVwCJiJw,"{'Pharmacy', 'Convenience Stores', 'Drugstores', 'Shopping', 'Food', 'Health & Medical'}",34.4218,-119.6409120667,CVS Pharmacy,23,2.0,"[15, 1, 2, 2, 4]","['2021-12-20 04:07:37', '2018-07-05 13:28:22', '2016-10-28 21:30:28', '2020-02-16 15:34:19', '2020-12-22 18:47:53']"
1936 State St,True,04Ss49U_QKYLotcJMAH8cA,"{'Restaurants', 'Vegan', 'Sandwiches', 'Vegetarian'}",34.430741422,-119.7142658272,Ike’s Love & Sandwiches,97,4.0,"[10, 12, 8, 13, 57]","['2020-10-02 00:54:57', '2020-08-03 21:29:18', '2021-01-17 21:53:43', '2021-04-17 20:15:23', '2021-12-19 21:04:24']"
"1150 Coast Village Rd, Ste E",True,0RxU5OglQyPVtLKC1LPgsA,"{'Breakfast & Brunch', 'Coffee & Tea', 'Food', 'French', 'Bakeries', 'Restaurants'}",34.4214078817,-119.64647306,Bree'osh,497,4.5,"[12, 15, 25, 84, 375]","['2021-07-07 18:08:05', '2021-11-16 16:30:43', '2021-07-11 11:44:23', '2021-12-18 17:45:27', '2022-01-19 00:02:44']"
29 E Cabrillo Blvd,True,0ac5lGA_0wdKDnib3y59Xg,"{'Nightlife', 'Mexican', 'Cocktail Bars', 'Bars', 'Restaurants'}",34.4131917395,-119.688437903,Flor De Maiz,434,4.0,"[36, 25, 45, 49, 285]","['2021-12-07 01:35:41', '2021-12-08 05:32:25', '2021-12-30 23:29:24', '2022-01-18 07:26:10', '2022-01-15 00:42:54']"
235 W Montecito St,False,0c28ysQJ_M1fVToTFV-FWQ,"{'Vegetarian', 'Sandwiches', 'Chicken Wings', 'Salad', 'Restaurants'}",34.4117091,-119.6960527,Wingman Rodeo - Montecito Street,44,4.0,"[3, 3, 8, 6, 24]","['2021-10-10 20:15:55', '2021-09-14 05:40:44', '2021-12-06 01:30:26', '2021-10-15 01:22:38', '2021-12-23 19:21:03']"
1812 Cliff Dr,False,0cWnURpfrb4MqKSzyVN4SQ,"{'Tapas Bars', 'Restaurants'}",34.40171,-119.7212025,Alcazar Tapas Bar,152,4.0,"[4, 12, 15, 41, 83]","['2012-08-15 21:57:59', '2017-09-06 19:00:20', '2021-11-01 21:41:41', '2021-08-03 21:41:43', '2022-01-19 03:29:02']"
1316 State St,True,0iHHsSqphxrBWWecYEJcuQ,"{'Coffee & Tea', 'Food'}",34.4248531,-119.7060883,Cajé Coffee - Arlington St,72,4.5,"[0, 1, 6, 11, 54]","[0, '2021-04-28 19:20:55', '2022-01-19 13:45:39', '2021-12-18 19:51:53', '2022-01-16 02:22:58']"
"4151 Foothill Rd Building A Main Fl, Bldg A",True,0iLgVQpBeIYYwQZIblTTVw,"{'Cafeteria', 'Cafes', 'Restaurants'}",34.4510957997,-119.7600908624,Cafe 154,10,4.0,"[1, 0, 2, 4, 3]","['2017-05-11 19:23:59', 0, '2018-08-14 17:56:14', '2018-10-05 19:48:19', '2019-08-22 16:05:29']"
800 Alvarado Pl,True,0jpFptAehZhLl3nkhHDanA,"{'Hotels', 'Hotels & Travel', 'Event Planning & Services', 'Restaurants'}",34.4388519,-119.7043733,Belmond El Encanto,331,4.0,"[46, 31, 24, 44, 203]","['2022-01-01 19:46:16', '2021-10-26 02:13:10', '2019-09-19 05:36:06', '2021-10-02 00:12:33', '2021-10-31 00:40:02']"
1260 Channel Drive,False,0m0SQSIzM9WcDhJ7UEVCLQ,"{'Tapas/Small Plates', 'Nightlife', 'Tapas Bars', 'Bars', 'Lounges', 'Restaurants'}",34.4172489,-119.6418849,Ty Lounge,32,4.0,"[1, 2, 4, 8, 17]","['2019-07-15 05:24:15', '2018-07-13 01:20:49', '2019-11-30 01:49:08', '2020-02-11 18:21:04', '2020-02-14 01:37:43']"
5995 Stagecoach Rd,True,0qu0fNTOsSmuREYVIMPuIQ,"{'Nightlife', 'American (Traditional)', 'Bars', 'Restaurants'}",34.5216257926,-119.8405629067,Cold Spring Tavern,1018,4.5,"[49, 35, 92, 256, 604]","['2022-01-09 18:06:34', '2021-11-06 18:23:17', '2021-10-10 23:43:57', '2022-01-17 05:12:36', '2022-01-09 01:31:39']"
33 Parker Way,True,0tbscjPg4IzURekIn_CJ1Q,"{'Local Flavor', 'Food', 'Juice Bars & Smoothies'}",34.4144582,-119.6944402,Juice Ranch,150,4.0,"[14, 8, 15, 24, 92]","['2022-01-12 01:21:01', '2022-01-12 01:40:44', '2022-01-12 06:21:20', '2021-11-20 23:28:51', '2021-12-25 17:41:57']"
3404 State St,True,12Gc4OFQ-WAW0fAk2hRZuQ,"{'Food', 'Donuts', 'Pop-Up Restaurants', 'Restaurants'}",34.4406266,-119.7367796,Kin Bakeshop,25,5.0,"[0, 0, 0, 0, 25]","[0, 0, 0, 0, '2021-03-14 02:06:26']"
4067 State St,False,13UbOVDFdxloxaient5XWA,"{'Party Bus Rentals', 'Transportation', 'Limos', 'Wedding Planning', 'Party & Event Planning', 'Arts & Entertainment', 'Tours', 'Food', 'Wine Tours', 'Event Planning & Services', 'Local Flavor', 'Hotels & Travel', 'Wineries'}",34.4393777962,-119.7583532456,Jump On The School Bus,175,5.0,"[0, 1, 1, 6, 170]","[0, '2016-08-10 19:15:25', '2016-11-15 02:36:59', '2015-12-17 15:33:00', '2021-11-08 20:21:14']"
209 S Milpas St,False,19Gx6T0v_GZW2je2J_mqOg,"{'Floral Designers', 'Candy Stores', 'Florists', 'Specialty Food', 'Shopping', 'Food', 'Event Planning & Services', 'Flowers & Gifts'}",34.4196404,-119.6757739931,Lily's Flowers and Fruity Florets,42,3.5,"[15, 4, 1, 3, 20]","['2022-01-03 21:16:56', '2019-02-19 22:02:38', '2017-05-10 03:49:22', '2019-06-12 17:36:23', '2021-12-29 21:18:06']"
3514 State St,True,1Du1NruqJwxnzgEUHc42Jw,"{'Diners', 'Breakfast & Brunch', 'American (New)', 'Restaurants'}",34.4406561,-119.7387809,SB Sunshine Cafe,208,4.5,"[8, 7, 11, 24, 163]","['2021-11-17 22:15:08', '2020-06-16 23:26:49', '2021-12-29 02:11:24', '2022-01-02 16:51:01', '2022-01-07 17:56:52']"
1305 State St,True,1U8Kt44FIkC7RnJsNjaMTA,"{'Beer', 'Sushi Bars', 'Food', 'Wine & Spirits', 'Japanese', 'Restaurants'}",34.4244063718,-119.706060133,Teru Japanese Cuisine,34,4.5,"[0, 4, 0, 1, 30]","[0, '2021-11-28 02:41:02', 0, '2021-01-16 21:37:07', '2022-01-08 02:19:15']"
3401 State St,True,1XoX4eLYyfK4b8l_TqiPUg,"{'Food', 'Specialty Food', 'Olive Oil'}",34.4401074,-119.736727,il Fustino,28,4.5,"[2, 2, 0, 5, 19]","['2022-01-05 17:21:30', '2020-08-08 04:01:00', 0, '2013-11-19 19:38:50', '2020-07-04 17:23:54']"
"3987 State St, Ste B",True,1kVnChI4aqsPw9i2PVqkkw,"{'Breakfast & Brunch', 'Italian', 'Food', 'Bakeries', 'American (Traditional)', 'Restaurants'}",34.4394181202,-119.7514181468,Fresco Cafe,278,4.0,"[29, 22, 25, 81, 125]","['2021-12-31 02:24:26', '2020-10-28 00:26:49', '2021-08-02 21:09:55', '2021-11-18 23:24:55', '2022-01-13 13:09:25']"
"1940 Cliff Dr, Ste B-13",True,1lwulkAD5htni3rbHW8oeg,"{'Fast Food', 'Salad', 'Sandwiches', 'Restaurants'}",34.402151,-119.7225483,Subway,11,3.0,"[5, 1, 1, 1, 4]","['2020-05-11 02:07:36', '2014-03-10 18:56:50', '2020-03-02 20:05:55', '2016-04-12 04:01:30', '2019-07-10 01:49:07']"
401 E Haley St,True,1oGCzoCC6HnQWpdK9cCP0g,"{'Coffee Roasteries', 'Food', 'Coffee & Tea'}",34.4212987,-119.6910125,Low Pigeon Coffee Roasters,93,5.0,"[0, 2, 3, 10, 79]","[0, '2021-06-28 04:57:46', '2021-03-28 17:09:49', '2021-12-26 17:48:06', '2021-12-29 23:20:50']"
213 Paseo Nuevo,True,1pd4VYTww1UWDVai2r2RKg,"{'Food', 'Bubble Tea', 'Juice Bars & Smoothies'}",34.4189482,-119.69974,805 Boba,248,3.0,"[53, 51, 34, 28, 88]","['2021-12-15 22:36:49', '2022-01-16 02:12:16', '2022-01-16 23:57:01', '2022-01-12 22:50:00', '2022-01-15 22:20:17']"
915 Garden St,False,1wvYBjX6radqmb_k0Fv_Ug,"{'Hotels', 'Cafes', 'Event Planning & Services', 'Hotels & Travel', 'Restaurants'}",34.4239925,-119.6979304,Palihouse Santa Barbara,7,4.0,"[0, 1, 1, 1, 4]","[0, '2022-01-10 05:52:52', '2021-05-30 05:04:51', '2021-06-03 21:25:51', '2022-01-09 18:17:14']"
116 E Yanonali St,False,1xsBRB203LiYLcC3mktfdA,"{'Wine Tasting Room', 'Beer', 'Arts & Entertainment', 'Food', 'Nightlife', 'Local Flavor', 'Wine & Spirits', 'Wine Bars', 'Bars', 'Wineries'}",34.4152803,-119.6899095,Kunin Wines,168,4.0,"[12, 15, 21, 53, 70]","['2021-07-18 00:15:51', '2021-05-17 02:06:49', '2021-05-12 21:54:08', '2020-09-27 19:54:10', '2021-09-14 04:09:41']"
604 Santa Barbara St,True,23OxrUaCvvVrwSa1z3xG-w,"{'Australian', 'Breakfast & Brunch', 'Food', 'Bakeries', 'Restaurants'}",34.4202441,-119.6946664,Recipes Bakery & Gifts: An Australian Coffee House,128,4.5,"[7, 6, 10, 20, 88]","['2019-05-21 17:48:12', '2019-11-29 04:47:20', '2020-09-05 17:33:02', '2019-06-30 22:58:12', '2021-09-26 01:45:54']"
141-153 Harbor Way,False,2GiqDUNiTt5__ixRbzbqFw,"{'Festivals', 'Arts & Crafts', 'Arts & Entertainment', 'Shopping', 'Seafood', 'Food', 'Local Flavor', 'Restaurants'}",34.4035193575,-119.6938347816,Santa Barbara Harbor & Seafood Festival,22,4.5,"[0, 1, 1, 8, 12]","[0, '2019-10-14 01:18:58', '2012-11-08 05:24:01', '2021-09-08 22:31:44', '2019-10-15 00:23:03']"
"417 Santa Barbara St, Ste A-6",True,2NcOysjkx3eFi3xo8ndAUA,"{'Beer', 'Arts & Entertainment', 'Food', 'Wine & Spirits', 'Wineries'}",34.418152,-119.6927,Renegade Wines,11,5.0,"[0, 0, 0, 1, 11]","[0, 0, 0, '2011-09-06 05:22:33', '2022-01-03 00:37:24']"
138 S Salinas St,True,2OJqIloZMAZXCW3uzF8jJw,"{'Imported Food', 'Ethnic Food', 'Specialty Food', 'Food', 'Mexican', 'Restaurants'}",34.4249436,-119.6711303,El Sitio,37,4.0,"[3, 4, 5, 12, 14]","['2021-07-29 02:20:20', '2017-07-25 07:41:33', '2021-01-14 05:47:34', '2019-08-26 05:20:03', '2021-08-24 19:43:52']"
"3987 State St, Ste D",True,2QaNH5-RCRNIkToUOBc22Q,"{'Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants'}",34.4395144,-119.7516314,La Salsa Fresh Mexican Grill,26,4.0,"[2, 2, 0, 9, 13]","['2021-04-03 20:06:27', '2020-12-31 02:52:16', 0, '2020-10-04 23:01:39', '2021-08-04 04:34:56']"
4898 Hollister Ave,True,2YnQAJdeFrcgPa8MqIYcDg,"{'Breakfast & Brunch', 'Cafes', 'Nightlife', 'Wine Bars', 'American (Traditional)', 'Bars', 'Restaurants'}",34.4366192418,-119.7917363642,Cody's Cafe,294,3.5,"[36, 28, 45, 90, 109]","['2022-01-13 18:16:27', '2021-09-06 19:29:22', '2022-01-01 21:59:43', '2022-01-18 01:01:30', '2022-01-07 17:10:13']"
"811 State St, Ste B",True,2bxZhBk8JZkJ1GqfTB0cUQ,"{'Italian', 'Food Delivery Services', 'Food', 'Event Planning & Services', 'American (New)', 'Caterers', 'Restaurants'}",34.4195303,-119.7001825,California Pasta,287,3.5,"[45, 23, 34, 85, 105]","['2021-12-24 21:48:07', '2020-11-08 23:02:52', '2021-08-09 07:07:11', '2022-01-04 04:01:42', '2021-11-09 04:30:32']"
2000 Cliff Dr,True,2cRTgUdOx7PNOQ6C0nnnug,"{'Food', 'Donuts', 'Bagels'}",34.402491,-119.723481,Bagel Market Cafe,79,3.5,"[14, 5, 7, 19, 35]","['2021-12-12 18:02:41', '2020-10-18 18:54:19', '2021-10-03 01:05:53', '2021-05-22 17:19:02', '2022-01-12 00:44:07']"
1435 San Andres St,True,2h3SEwpI6fiuTF9mcN1S_Q,"{'Mexican', 'Restaurants'}",34.4185582,-119.7161005,El Zarape,86,4.0,"[6, 9, 3, 18, 51]","['2020-10-27 03:43:37', '2020-09-06 18:50:35', '2017-08-15 00:00:20', '2021-09-25 15:17:44', '2021-12-22 20:42:21']"
1114 State St,True,2l-spLLGUzRiZg8dF623Nw,"{'Gastropubs', 'Sports Bars', 'Nightlife', 'Pubs', 'Beer Bar', 'Cocktail Bars', 'Tapas Bars', 'Bars', 'Restaurants'}",34.4228222462,-119.7034015551,1114 Sports Bar & Games,144,4.0,"[18, 11, 14, 22, 81]","['2022-01-16 21:58:00', '2020-10-06 01:09:36', '2022-01-18 03:33:43', '2021-07-23 20:33:20', '2021-12-13 02:19:51']"
1150 Coast Village Rd,True,2nF2syYoD5VBFk01le6NkA,"{'Delis', 'Restaurants'}",34.4213976639,-119.646426848,Montecito Deli & Catering,31,4.5,"[0, 3, 2, 10, 17]","[0, '2017-06-17 20:19:10', '2018-11-02 04:12:37', '2021-07-18 01:14:14', '2021-07-10 19:03:16']"
221 Stearns Wharf,True,2pBNVsJo3a3CPbInUu9lvQ,"{'Breakfast & Brunch', 'Fish & Chips', 'Seafood', 'Fast Food', 'Food', 'Coffee & Tea', 'American (Traditional)', 'Restaurants'}",34.4097583,-119.6853378,Char West,134,3.0,"[40, 23, 21, 21, 29]","['2021-12-26 04:52:35', '2021-05-28 20:10:13', '2021-04-17 21:50:22', '2021-11-09 18:16:50', '2021-10-17 17:55:00']"
1118 E Cabrillo Blvd,False,304FY8qhcOpm9SIkrzmhoQ,"{'Restaurants', 'Salad', 'Burgers', 'American (New)'}",34.4170185,-119.6689747,Reunion Kitchen + Drink,61,4.5,"[0, 1, 5, 10, 46]","[0, '2022-01-08 04:51:46', '2022-01-02 21:13:46', '2022-01-19 07:39:27', '2022-01-17 02:37:43']"
331 Motor Way,True,34Eqv8jXgxg_EEwcsNgeeg,"{'Breakfast & Brunch', 'Health Markets', 'Specialty Food', 'Coffee & Tea', 'Food', 'Juice Bars & Smoothies', 'American (New)', 'Ice Cream & Frozen Yogurt', 'Restaurants'}",34.4151137,-119.6944966,Backyard Bowls,659,4.0,"[38, 25, 46, 183, 378]","['2021-05-28 20:08:23', '2021-08-01 18:21:04', '2021-12-05 16:42:33', '2021-12-29 18:50:25', '2021-12-18 12:30:27']"
601 W De La Guerra St,True,34PSBuVNmEguXTwmyH5Tcg,"{'Convenience Stores', 'Food', 'Grocery'}",34.4130646,-119.7060657,Guadalajara Market,11,2.5,"[5, 2, 0, 0, 4]","['2020-06-18 15:19:18', '2019-03-12 19:19:15', 0, 0, '2021-12-26 19:46:42']"
121 E Yanonali St,False,3DSgJFIaXjdknbZn3LSnPQ,"{'Coffee Roasteries', 'Food', 'Coffee & Tea'}",34.4158054,-119.689906,Dart Coffee Co,123,4.5,"[4, 4, 10, 23, 84]","['2021-11-06 19:25:51', '2021-10-20 14:46:12', '2021-11-16 20:42:59', '2021-10-13 02:45:39', '2021-12-29 03:45:22']"
"3815 State St, Ste G131",True,3Wy21heeDm8h2tSZfcj6OA,"{'Breakfast & Brunch', 'Beer', 'Wine Bars', 'Seafood', 'Food', 'Nightlife', 'American (New)', 'Cocktail Bars', 'Wine & Spirits', 'Bars', 'Restaurants'}",34.43884928,-119.7481642957,Lure Fish House,1453,4.5,"[44, 67, 109, 334, 980]","['2021-12-16 09:05:42', '2022-01-06 18:52:31', '2021-12-21 12:28:22', '2022-01-07 19:12:46', '2022-01-13 18:50:44']"
3629 State St,False,3fpAmsSuEFNF29UUPpgwlw,"{'Donuts', 'Bubble Tea', 'Coffee & Tea', 'Food', 'Bagels', 'Restaurants'}",34.4401969,-119.7414014,Spudnuts & Bagels,292,4.5,"[6, 2, 10, 31, 251]","['2020-02-19 01:27:15', '2018-05-28 06:20:35', '2021-04-01 06:52:15', '2021-08-27 03:16:17', '2021-11-27 20:34:41']"
418 State St,True,3rzlcCvPUJ56jvYWl7iGvA,"{'Restaurants', 'Vegan', 'American (New)'}",34.416536,-119.694577,Modern Times Kitchen,54,4.5,"[2, 2, 0, 9, 41]","['2021-08-17 19:59:38', '2021-09-13 00:16:46', 0, '2021-12-05 22:07:11', '2022-01-04 02:24:26']"
15 East Figueroa St,True,3tvi-OJ_-iK1ecjzSaH-oA,"{'Breakfast & Brunch', 'Desserts', 'Coffee & Tea', 'Food', 'Bakeries', 'Donuts', 'Restaurants'}",34.4233020318,-119.7028496606,Hook And Press Donuts,217,4.5,"[4, 11, 24, 45, 139]","['2021-07-15 18:09:02', '2021-09-08 23:22:27', '2021-11-16 20:33:39', '2021-07-24 21:08:54', '2022-01-12 00:02:54']"
401 W Montecito St,False,3yI-WR2x322OvcGVUOSUjg,"{'Convenience Stores', 'Car Wash', 'Food', 'Auto Detailing', 'Automotive', 'Food Trucks', 'Gas Stations'}",34.410332,-119.6973313,Chevron,43,2.5,"[24, 4, 2, 6, 9]","['2021-05-01 04:12:47', '2016-05-03 06:15:56', '2021-02-21 21:03:11', '2015-09-08 17:37:19', '2021-11-16 21:06:27']"
"220 W Carrillo St, Ste 1",True,425FOxIzHPcOB0niWc6-1w,"{'Food', 'Donuts', 'Restaurants'}",34.4189876171,-119.7047993817,Spudnuts Donuts,100,3.5,"[15, 11, 14, 29, 31]","['2021-05-10 19:51:56', '2018-11-21 00:03:09', '2019-08-07 01:30:22', '2021-10-27 01:50:28', '2021-09-30 23:32:42']"
2220 Bath St,True,45D7B9CqiUTTPUFcqmLx5Q,"{'Farmers Market', 'Breakfast & Brunch', 'Cafes', 'Fast Food', 'Food', 'Nightlife', 'American (New)', 'Wine Bars', 'Bars', 'Restaurants'}",34.4303146,-119.720935,Live Oak Cafe,263,4.5,"[10, 13, 16, 70, 158]","['2020-08-16 20:12:18', '2021-05-04 20:51:44', '2020-11-03 00:58:11', '2021-08-20 21:57:36', '2021-12-21 19:03:34']"
38 W Victoria St,True,49Sy1N3MTnK6Eslh1tgZQQ,"{'Pop-Up Restaurants', 'Restaurants'}",34.4236075,-119.7070539,Matty's Hot Chicken,12,3.5,"[1, 1, 4, 1, 5]","['2021-05-23 22:47:10', '2021-05-23 22:24:58', '2021-09-04 23:56:56', '2021-12-27 05:11:29', '2022-01-17 02:01:08']"
"11 W Victoria St, Ste 21",True,4D7QDfPOsSPfKxBi3gs_qQ,"{'Italian', 'Pizza', 'Nightlife', 'Bars', 'Restaurants'}",34.4238136,-119.7060451,Olio Pizzeria,622,4.0,"[43, 49, 63, 170, 315]","['2022-01-16 03:41:54', '2021-12-18 05:42:14', '2021-12-02 20:58:28', '2021-07-24 15:36:07', '2021-11-28 04:44:11']"
702 Anacapa St,True,4FdsX3MbkcdBRAr1aymF6A,"{'Breakfast & Brunch', 'Chicken Shop', 'Desserts', 'Food', 'Mexican', 'Nightlife', 'Cocktail Bars', 'Barbeque', 'Bars', 'Restaurants'}",34.4200396,-119.6968561,La Paloma Cafe,77,4.5,"[5, 3, 2, 10, 57]","['2021-12-26 07:52:42', '2021-08-21 18:51:39', '2021-11-10 21:05:45', '2022-01-16 20:56:15', '2021-12-07 08:22:47']"
,False,4_JJl_mlIEI9Ui9rOHHwMA,"{'Active Life', 'Arts & Entertainment', 'Horseback Riding', 'Tours', 'Food', 'Wine Tours', 'Hotels & Travel', 'Wineries'}",34.420334,-119.7107494,Wine & Horse Tours,7,3.5,"[2, 0, 0, 3, 2]","['2019-01-17 15:51:56', 0, 0, '2021-09-18 00:45:18', '2015-03-27 21:22:33']"
